"","element","fixture","opponent_team","total_points","was_home","kickoff_time","team_h_score","team_a_score","round","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","value","transfers_balance","selected","transfers_in","transfers_out","playername"
"613",120,7,3,2,FALSE,"2020-09-14T19:15:00Z",1,3,1,90,0,0,0,1,0,0,0,0,0,0,0,9,"13.6","28.6","9.0","5.1",70,0,518922,0,0,"Mason Mount"
"614",120,11,11,2,TRUE,"2020-09-20T15:30:00Z",0,2,2,90,0,0,0,2,0,0,0,0,0,0,0,10,"9.6","5.6","1.0","1.6",70,-87707,456584,15540,103247,"Mason Mount"
"615",120,27,18,12,FALSE,"2020-09-26T16:30:00Z",3,3,3,90,1,1,0,3,0,0,0,0,0,0,2,48,"50.8","52.1","81.0","18.4",69,-65777,406197,32862,98639,"Mason Mount"
"616",120,31,6,0,TRUE,"2020-10-03T11:30:00Z",4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",69,119900,561764,163939,44039,"Mason Mount"
"617",120,39,16,2,TRUE,"2020-10-17T14:00:00Z",3,3,5,71,0,0,0,2,0,0,0,0,0,0,0,6,"6.0","23.3","46.0","7.5",69,-96494,462770,33793,130287,"Mason Mount"
"618",121,7,3,0,FALSE,"2020-09-14T19:15:00Z",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",50,0,21251,0,0,"Fikayo Tomori"
"619",121,11,11,0,TRUE,"2020-09-20T15:30:00Z",0,2,2,45,0,0,0,2,0,0,0,0,0,0,0,8,"26.6","0.1","0.0","2.7",50,-4131,21982,565,4696,"Fikayo Tomori"
"620",121,27,18,0,FALSE,"2020-09-26T16:30:00Z",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-1637,23271,2652,4289,"Fikayo Tomori"
"621",121,31,6,0,TRUE,"2020-10-03T11:30:00Z",4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",49,-2819,21444,825,3644,"Fikayo Tomori"
"622",121,39,16,0,TRUE,"2020-10-17T14:00:00Z",3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",48,-1977,20460,795,2772,"Fikayo Tomori"
"623",122,7,3,1,FALSE,"2020-09-14T19:15:00Z",1,3,1,10,0,0,0,0,0,0,0,0,0,0,0,3,"0.8","1.3","0.0","0.2",60,0,28187,0,0,"Callum Hudson-Odoi"
